회사명 : (주)청명기연환경 / 2024/07/18  ~ 2025/08/25  / 장비투입현황,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
일자-No.	,출고창고명	,입고창고명	,품목명	,규격	,수량	,장비상태	,비고
2024/07/29 -4	,현장	,청명	,BMW-5000	,1792	,1,	,	
2024/07/29 -4	,현장	,청명	,BMW-5000	,1500	,1,	,	
2024/07/29 -4	,현장	,청명	,Serinus 30 i	,20-2171	,1,	,	
2024/07/29 -4	,현장	,청명	,Serinus 30 i	,18-0145	,1,	,	
2024/07/29 -4	,현장	,청명	,Serinus10i	,20-1571	,1,	,	
2024/07/29 -4	,현장	,청명	,Serinus 10 i	,21-0507	,1,	,	
2024/07/29 -4	,현장	,청명	,49iQ	,1190581598	,1,	,	
2024/07/29 -4	,현장	,청명	,49iQ	,1192754688	,1,	,	
2024/07/29 -4	,현장	,청명	,48iQ	,1202038522	,1,	,	
2024/07/29 -4	,현장	,청명	,48iQ	,1201888256	,1,	,	
2024/07/29 -4	,현장	,청명	,KMS-4200	,20P572	,1,	,	
2024/07/29 -4	,현장	,청명	,KMS-4200	,18P360	,1,	,	
2024/07/29 -4	,현장	,청명	,KMS-4200	,18P359	,1,	,	
2024/07/29 -4	,현장	,청명	,KMS-4200	,20P570	,1,	,	
2024/07/29 -4	,현장	,청명	,T8400ME	,4211/TA3713	,1,	,	
2024/07/29 -4	,현장	,청명	,T8400ME	,4170/TA3682	,1,	,	
2024/07/29 -4	,현장	,청명	,T8400ME	,4210/TA3712	,1,	,	
2024/07/29 -4	,현장	,청명	,T8400ME	,TA3723	,1,	,	
2024/07/29 -5	,청명	,현장	,KMS-4200	,18P355	,1,	,	
2024/07/29 -5	,청명	,현장	,KMS-4200	,19P404	,1,	,	
2024/07/29 -5	,청명	,현장	,PMS-204	,1708791	,1,	,	
2024/07/29 -5	,청명	,현장	,PMS-204	,1904005	,1,	,	
2024/07/29 -5	,청명	,현장	,PMS-204	,1501517	,1,	,	
2024/07/29 -5	,청명	,현장	,KMS-4200	,20P557	,1,	,	
2024/07/29 -5	,청명	,현장	,KMS-4200	,22P617	,1,	,	
2024/07/29 -5	,청명	,현장	,KMS-4200	,18P366	,1,	,	
2024/07/29 -5	,청명	,현장	,BMW-5000	,718	,1,	,	
2024/07/29 -5	,청명	,현장	,BMW-5000	,849	,1,	,	
2024/07/29 -5	,청명	,현장	,BMW-5000	,1318	,1,	,	
2024/07/29 -5	,청명	,현장	,BMW-5000	,719	,1,	,	
2024/07/29 -6	,청명	,현장	,SC-260	,T242071	,1,	,	
2024/07/29 -6	,청명	,현장	,TYPE3233	,160096	,1,	,	
2024/07/29 -6	,청명	,현장	,AC-300	,627	,1,	,	
2024/07/29 -7	,청명	,현장	,BMW-5000	,1626	,1,정상	,A-3 신음근린공원	
2024/07/29 -7	,청명	,현장	,KMS-4200	,18P368	,1,정상	,A-3 신음근린공원	
2024/07/29 -7	,청명	,현장	,PMS-204	,1501514	,1,정상	,A-3 신음근린공원	
2024/07/29 -7	,청명	,현장	,BMW-5000	,722	,1,정상	,A-1 신음근린공원	
2024/07/29 -7	,청명	,현장	,KMS-4200	,18P357	,1,정상	,A-1 신음근린공원	
2024/07/29 -7	,청명	,현장	,PMS-204	,1501479	,1,정상	,A-1 신음근린공원	
2024/07/29 -7	,청명	,현장	,PMS-204	,1708789	,1,정상	,A-2 신음근린공원	
